Name,Mean (ps),2*Stdev (ps)
All.inbox.single-full,213850974988,14154086590
All.inbox.single-nometrics,212446549990,18142784734
All.inbox.batch-100,136879300044,7219592578
All.inbox.single-slim,216187324979,21430587292
All.inbox.downstream.table-downstream-single.fresh.metrics-off,1844436999883,1682444380116
All.inbox.downstream.delegated-single.fresh.metrics-off,1637233800088,1658732220340
All.inbox.downstream.delegated-direct-single.fresh.metrics-off,1626138400051,1664423460384
All.inbox.downstream.table-downstream-single.fresh.metrics-on,1793664199884,1535871911728
All.inbox.downstream.delegated-single.fresh.metrics-on,1588932999884,1576569243060
All.inbox.downstream.table-downstream-single.all-duplicate.metrics-off,302728000204,35562424656
All.inbox.downstream.delegated-single.all-duplicate.metrics-off,58892000254,28358708860
All.inbox.downstream.table-downstream-single.repeated-key.metrics-off,309315599768,40166936522
All.inbox.downstream.table-downstream-single.repeated-key.metrics-on,314216600164,35823597624
All.inbox.downstream.delegated-single.repeated-key.metrics-off,62540600114,28747784516
All.inbox.downstream.delegated-single.repeated-key.metrics-on,65217199820,29432915402
All.inbox.downstream.table-downstream-batch-100.fresh.metrics-off,1307538800024,1236744154736
All.inbox.downstream.delegated-batch-100.fresh.metrics-off,1613199399934,1689805515096
All.inbox.downstream.table-downstream-batch-1000.fresh.metrics-off,1582462200114,1530853280932
All.inbox.downstream.delegated-batch-1000.fresh.metrics-off,1323453800037,400073705282
All.inbox.downstream.table-downstream-batch-100.repeated-key.metrics-off,4046249958,7007837098
All.inbox.downstream.table-downstream-batch-100.repeated-key.metrics-on,5699000012,6879934066
All.inbox.downstream.table-downstream-batch-100.all-duplicate.metrics-off,3367550028,3407320354
All.inbox.downstream.table-downstream-batch-100.all-duplicate.metrics-on,5135999974,6757397484
All.inbox.downstream.delegated-batch-100.repeated-key.metrics-off,1225675001,1799755174
All.inbox.downstream.delegated-batch-100.repeated-key.metrics-on,3148424985,3530304180
All.inbox.downstream.delegated-batch-100.all-duplicate.metrics-off,913249990,1694436414
All.inbox.downstream.delegated-batch-100.all-duplicate.metrics-on,2685725004,3446563298
All.inbox.downstream.table-downstream-batch-1000.repeated-key.metrics-off,1150137504,1714057886
All.inbox.downstream.table-downstream-batch-1000.repeated-key.metrics-on,3090049996,3558255072
All.inbox.downstream.table-downstream-batch-1000.all-duplicate.metrics-off,650174998,851578574
All.inbox.downstream.table-downstream-batch-1000.all-duplicate.metrics-on,2473224998,3477309326
All.inbox.downstream.delegated-batch-1000.repeated-key.metrics-off,573856243,886545054
All.inbox.downstream.delegated-batch-1000.repeated-key.metrics-on,2465499980,3446227966
All.inbox.downstream.delegated-batch-1000.all-duplicate.metrics-off,233543750,429716374
All.inbox.downstream.delegated-batch-1000.all-duplicate.metrics-on,2025100006,3387419364
All.inbox.downstream.delegated-history-duplicate.events-10,57405599947,28959763474
All.inbox.downstream.delegated-history-duplicate.events-1000,57366800179,28060864434
All.inbox.downstream.delegated-history-duplicate.events-100000,59624599755,31520509038
